PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,FamilySize,IsAlone,TicketGroupSize,Fare,FarePerPerson,FarePerTicketPerson,Cabin,Deck,has_cabin,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Embarked_C,Embarked_Q,Embarked_S
1,0,3,1,22.0,1,0,2,0,1,7.25,3.625,7.25,,0.0,0,False,False,True,False,False,False,False,True
2,1,1,0,38.0,1,0,2,0,1,71.2833,35.64165,71.2833,C85,3.0,1,False,False,False,True,False,True,False,False
3,1,3,0,26.0,0,0,1,1,1,7.925,7.925,7.925,,0.0,0,False,True,False,False,False,False,False,True
4,1,1,0,35.0,1,0,2,0,2,53.1,26.55,26.55,C123,3.0,1,False,False,False,True,False,False,False,True
5,0,3,1,35.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
6,0,3,1,28.0,0,0,1,1,1,8.4583,8.4583,8.4583,,0.0,0,False,False,True,False,False,False,True,False
7,0,1,1,54.0,0,0,1,1,1,51.8625,51.8625,51.8625,E46,5.0,1,False,False,True,False,False,False,False,True
8,0,3,1,2.0,3,1,5,0,4,21.075,4.215,5.26875,,0.0,0,True,False,False,False,False,False,False,True
9,1,3,0,27.0,0,2,3,0,3,11.1333,3.7111,3.7111,,0.0,0,False,False,False,True,False,False,False,True
10,1,2,0,14.0,1,0,2,0,2,30.0708,15.0354,15.0354,,0.0,0,False,False,False,True,False,True,False,False
11,1,3,0,4.0,1,1,3,0,2,16.7,5.566666666666666,8.35,G6,0.0,1,False,True,False,False,False,False,False,True
12,1,1,0,58.0,0,0,1,1,1,26.55,26.55,26.55,C103,3.0,1,False,True,False,False,False,False,False,True
13,0,3,1,20.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
14,0,3,1,39.0,1,5,7,0,7,31.275,4.4678571428571425,4.4678571428571425,,0.0,0,False,False,True,False,False,False,False,True
15,0,3,0,14.0,0,0,1,1,1,7.8542,7.8542,7.8542,,0.0,0,False,True,False,False,False,False,False,True
16,1,2,0,55.0,0,0,1,1,1,16.0,16.0,16.0,,0.0,0,False,False,False,True,False,False,False,True
17,0,3,1,2.0,4,1,6,0,5,29.125,4.854166666666667,5.825,,0.0,0,True,False,False,False,False,False,True,False
18,1,2,1,28.0,0,0,1,1,1,13.0,13.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
19,0,3,0,31.0,1,0,2,0,1,18.0,9.0,18.0,,0.0,0,False,False,False,True,False,False,False,True
20,1,3,0,28.0,0,0,1,1,1,7.225,7.225,7.225,,0.0,0,False,False,False,True,False,True,False,False
21,0,2,1,35.0,0,0,1,1,2,26.0,26.0,13.0,,0.0,0,False,False,True,False,False,False,False,True
22,1,2,1,34.0,0,0,1,1,1,13.0,13.0,13.0,D56,4.0,1,False,False,True,False,False,False,False,True
23,1,3,0,15.0,0,0,1,1,1,8.0292,8.0292,8.0292,,0.0,0,False,True,False,False,False,False,True,False
24,1,1,1,28.0,0,0,1,1,1,35.5,35.5,35.5,A6,1.0,1,False,False,True,False,False,False,False,True
25,0,3,0,8.0,3,1,5,0,4,21.075,4.215,5.26875,,0.0,0,False,True,False,False,False,False,False,True
26,1,3,0,38.0,1,5,7,0,4,31.3875,4.483928571428572,7.846875,,0.0,0,False,False,False,True,False,False,False,True
27,0,3,1,28.0,0,0,1,1,1,7.225,7.225,7.225,,0.0,0,False,False,True,False,False,True,False,False
28,0,1,1,19.0,3,2,6,0,4,263.0,43.833333333333336,65.75,C23 C25 C27,3.0,1,False,False,True,False,False,False,False,True
29,1,3,0,28.0,0,0,1,1,1,7.8792,7.8792,7.8792,,0.0,0,False,True,False,False,False,False,True,False
30,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
31,0,1,1,40.0,0,0,1,1,1,27.7208,27.7208,27.7208,,0.0,0,False,False,False,False,True,True,False,False
32,1,1,0,28.0,1,0,2,0,2,146.5208,73.2604,73.2604,B78,2.0,1,False,False,False,True,False,True,False,False
33,1,3,0,28.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,True,False,False,False,False,True,False
34,0,2,1,66.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,False,True,False,False,False,False,True
35,0,1,1,28.0,1,0,2,0,2,82.1708,41.0854,41.0854,,0.0,0,False,False,True,False,False,True,False,False
36,0,1,1,42.0,1,0,2,0,2,52.0,26.0,26.0,,0.0,0,False,False,True,False,False,False,False,True
37,1,3,1,28.0,0,0,1,1,1,7.2292,7.2292,7.2292,,0.0,0,False,False,True,False,False,True,False,False
38,0,3,1,21.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
39,0,3,0,18.0,2,0,3,0,2,18.0,6.0,9.0,,0.0,0,False,True,False,False,False,False,False,True
40,1,3,0,14.0,1,0,2,0,2,11.2417,5.62085,5.62085,,0.0,0,False,True,False,False,False,True,False,False
41,0,3,0,40.0,1,0,2,0,1,9.475,4.7375,9.475,,0.0,0,False,False,False,True,False,False,False,True
42,0,2,0,27.0,1,0,2,0,2,21.0,10.5,10.5,,0.0,0,False,False,False,True,False,False,False,True
43,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,True,False,False
44,1,2,0,3.0,1,2,4,0,3,41.5792,10.3948,13.859733333333333,,0.0,0,False,True,False,False,False,True,False,False
45,1,3,0,19.0,0,0,1,1,1,7.8792,7.8792,7.8792,,0.0,0,False,True,False,False,False,False,True,False
46,0,3,1,28.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
47,0,3,1,28.0,1,0,2,0,1,15.5,7.75,15.5,,0.0,0,False,False,True,False,False,False,True,False
48,1,3,0,28.0,0,0,1,1,1,7.75,7.75,7.75,,0.0,0,False,True,False,False,False,False,True,False
49,0,3,1,28.0,2,0,3,0,1,21.6792,7.226400000000001,21.6792,,0.0,0,False,False,True,False,False,True,False,False
50,0,3,0,18.0,1,0,2,0,2,17.8,8.9,8.9,,0.0,0,False,False,False,True,False,False,False,True
51,0,3,1,7.0,4,1,6,0,6,39.6875,6.614583333333333,6.614583333333333,,0.0,0,True,False,False,False,False,False,False,True
52,0,3,1,21.0,0,0,1,1,1,7.8,7.8,7.8,,0.0,0,False,False,True,False,False,False,False,True
53,1,1,0,49.0,1,0,2,0,3,76.7292,38.3646,25.576400000000003,D33,4.0,1,False,False,False,True,False,True,False,False
54,1,2,0,29.0,1,0,2,0,1,26.0,13.0,26.0,,0.0,0,False,False,False,True,False,False,False,True
55,0,1,1,65.0,0,1,2,0,1,61.9792,30.9896,61.9792,B30,2.0,1,False,False,True,False,False,True,False,False
56,1,1,1,28.0,0,0,1,1,1,35.5,35.5,35.5,C52,3.0,1,False,False,True,False,False,False,False,True
57,1,2,0,21.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,True,False,False,False,False,False,True
58,0,3,1,28.5,0,0,1,1,1,7.2292,7.2292,7.2292,,0.0,0,False,False,True,False,False,True,False,False
59,1,2,0,5.0,1,2,4,0,3,27.75,6.9375,9.25,,0.0,0,False,True,False,False,False,False,False,True
60,0,3,1,11.0,5,2,8,0,6,46.9,5.8625,7.816666666666666,,0.0,0,True,False,False,False,False,False,False,True
61,0,3,1,22.0,0,0,1,1,1,7.2292,7.2292,7.2292,,0.0,0,False,False,True,False,False,True,False,False
62,1,1,0,38.0,0,0,1,1,2,80.0,80.0,40.0,B28,2.0,1,False,True,False,False,False,False,False,True
63,0,1,1,45.0,1,0,2,0,2,83.475,41.7375,41.7375,C83,3.0,1,False,False,True,False,False,False,False,True
64,0,3,1,4.0,3,2,6,0,6,27.9,4.6499999999999995,4.6499999999999995,,0.0,0,True,False,False,False,False,False,False,True
65,0,1,1,28.0,0,0,1,1,1,27.7208,27.7208,27.7208,,0.0,0,False,False,True,False,False,True,False,False
66,1,3,1,28.0,1,1,3,0,2,15.2458,5.081933333333333,7.6229,,0.0,0,True,False,False,False,False,True,False,False
67,1,2,0,29.0,0,0,1,1,1,10.5,10.5,10.5,F33,6.0,1,False,False,False,True,False,False,False,True
68,0,3,1,19.0,0,0,1,1,1,8.1583,8.1583,8.1583,,0.0,0,False,False,True,False,False,False,False,True
69,1,3,0,17.0,4,2,7,0,1,7.925,1.1321428571428571,7.925,,0.0,0,False,True,False,False,False,False,False,True
70,0,3,1,26.0,2,0,3,0,1,8.6625,2.8874999999999997,8.6625,,0.0,0,False,False,True,False,False,False,False,True
71,0,2,1,32.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,False,True,False,False,False,False,True
72,0,3,0,16.0,5,2,8,0,6,46.9,5.8625,7.816666666666666,,0.0,0,False,True,False,False,False,False,False,True
73,0,2,1,21.0,0,0,1,1,5,73.5,73.5,14.7,,0.0,0,False,False,True,False,False,False,False,True
74,0,3,1,26.0,1,0,2,0,1,14.4542,7.2271,14.4542,,0.0,0,False,False,True,False,False,True,False,False
75,1,3,1,32.0,0,0,1,1,7,56.4958,56.4958,8.070828571428573,,0.0,0,False,False,True,False,False,False,False,True
76,0,3,1,25.0,0,0,1,1,1,7.65,7.65,7.65,F G73,6.0,1,False,False,True,False,False,False,False,True
77,0,3,1,28.0,0,0,1,1,1,7.8958,7.8958,7.8958,,0.0,0,False,False,True,False,False,False,False,True
78,0,3,1,28.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
79,1,2,1,0.83,0,2,3,0,2,29.0,9.666666666666666,14.5,,0.0,0,True,False,False,False,False,False,False,True
80,1,3,0,30.0,0,0,1,1,2,12.475,12.475,6.2375,,0.0,0,False,True,False,False,False,False,False,True
81,0,3,1,22.0,0,0,1,1,1,9.0,9.0,9.0,,0.0,0,False,False,True,False,False,False,False,True
82,1,3,1,29.0,0,0,1,1,1,9.5,9.5,9.5,,0.0,0,False,False,True,False,False,False,False,True
83,1,3,0,28.0,0,0,1,1,1,7.7875,7.7875,7.7875,,0.0,0,False,True,False,False,False,False,True,False
84,0,1,1,28.0,0,0,1,1,1,47.1,47.1,47.1,,0.0,0,False,False,True,False,False,False,False,True
85,1,2,0,17.0,0,0,1,1,1,10.5,10.5,10.5,,0.0,0,False,True,False,False,False,False,False,True
86,1,3,0,33.0,3,0,4,0,2,15.85,3.9625,7.925,,0.0,0,False,False,False,True,False,False,False,True
87,0,3,1,16.0,1,3,5,0,4,34.375,6.875,8.59375,,0.0,0,False,False,True,False,False,False,False,True
88,0,3,1,28.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
89,1,1,0,23.0,3,2,6,0,4,263.0,43.833333333333336,65.75,C23 C25 C27,3.0,1,False,True,False,False,False,False,False,True
90,0,3,1,24.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
91,0,3,1,29.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
92,0,3,1,20.0,0,0,1,1,1,7.8542,7.8542,7.8542,,0.0,0,False,False,True,False,False,False,False,True
93,0,1,1,46.0,1,0,2,0,1,61.175,30.5875,61.175,E31,5.0,1,False,False,True,False,False,False,False,True
94,0,3,1,26.0,1,2,4,0,2,20.575,5.14375,10.2875,,0.0,0,False,False,True,False,False,False,False,True
95,0,3,1,59.0,0,0,1,1,1,7.25,7.25,7.25,,0.0,0,False,False,True,False,False,False,False,True
96,0,3,1,28.0,0,0,1,1,1,8.05,8.05,8.05,,0.0,0,False,False,True,False,False,False,False,True
97,0,1,1,71.0,0,0,1,1,1,34.6542,34.6542,34.6542,A5,1.0,1,False,False,True,False,False,True,False,False
