Survived,Pclass,Sex,Age,FamilySize,IsAlone,TicketGroupSize,FarePerPerson,Deck,has_cabin,Title_Miss,Title_Mr,Title_Mrs
0,3,1,22.0,2,0,1,3.625,0.0,0,False,True,False
1,1,0,38.0,2,0,1,35.64165,3.0,1,False,False,True
1,3,0,26.0,1,1,1,7.925,0.0,0,True,False,False
1,1,0,35.0,2,0,2,26.55,3.0,1,False,False,True
0,3,1,35.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,28.0,1,1,1,8.4583,0.0,0,False,True,False
0,1,1,54.0,1,1,1,51.8625,5.0,1,False,True,False
0,3,1,2.0,5,0,4,4.215,0.0,0,False,False,False
1,3,0,27.0,3,0,3,3.7111,0.0,0,False,False,True
1,2,0,14.0,2,0,2,15.0354,0.0,0,False,False,True
1,3,0,4.0,3,0,2,5.566666666666666,0.0,1,True,False,False
1,1,0,58.0,1,1,1,26.55,3.0,1,True,False,False
0,3,1,20.0,1,1,1,8.05,0.0,0,False,True,False
0,3,1,39.0,7,0,7,4.467857142857143,0.0,0,False,True,False
0,3,0,14.0,1,1,1,7.8542,0.0,0,True,False,False
1,2,0,55.0,1,1,1,16.0,0.0,0,False,False,True
0,3,1,2.0,6,0,5,4.854166666666667,0.0,0,False,False,False
1,2,1,28.0,1,1,1,13.0,0.0,0,False,True,False
0,3,0,31.0,2,0,1,9.0,0.0,0,False,False,True
1,3,0,28.0,1,1,1,7.225,0.0,0,False,False,True
0,2,1,35.0,1,1,2,26.0,0.0,0,False,True,False
1,2,1,34.0,1,1,1,13.0,4.0,1,False,True,False
1,3,0,15.0,1,1,1,8.0292,0.0,0,True,False,False
1,1,1,28.0,1,1,1,35.5,1.0,1,False,True,False
0,3,0,8.0,5,0,4,4.215,0.0,0,True,False,False
1,3,0,38.0,7,0,4,4.483928571428572,0.0,0,False,False,True
0,3,1,28.0,1,1,1,7.225,0.0,0,False,True,False
0,1,1,19.0,6,0,4,43.833333333333336,3.0,1,False,True,False
1,3,0,28.0,1,1,1,7.8792,0.0,0,True,False,False
0,3,1,28.0,1,1,1,7.8958,0.0,0,False,True,False
0,1,1,40.0,1,1,1,27.7208,0.0,0,False,False,False
1,1,0,28.0,2,0,2,73.2604,2.0,1,False,False,True
1,3,0,28.0,1,1,1,7.75,0.0,0,True,False,False
0,2,1,66.0,1,1,1,10.5,0.0,0,False,True,False
0,1,1,28.0,2,0,2,41.0854,0.0,0,False,True,False
0,1,1,42.0,2,0,2,26.0,0.0,0,False,True,False
1,3,1,28.0,1,1,1,7.2292,0.0,0,False,True,False
0,3,1,21.0,1,1,1,8.05,0.0,0,False,True,False
0,3,0,18.0,3,0,2,6.0,0.0,0,True,False,False
